country_name,missing_rate,indicator
Austria,0.0,Gross value added
Belgium,0.0,Gross value added
Bulgaria,0.0,Gross value added
Croatia,0.0,Gross value added
Cyprus,0.0,Gross value added
Czechia,0.0,Gross value added
Denmark,0.0,Gross value added
Estonia,0.0,Gross value added
Finland,0.0,Gross value added
France,0.0,Gross value added
Germany,0.0,Gross value added
Greece,0.0,Gross value added
Hungary,0.0,Gross value added
Ireland,0.0,Gross value added
Italy,0.0,Gross value added
Latvia,0.0,Gross value added
Lithuania,0.0,Gross value added
Luxembourg,0.0,Gross value added
Malta,0.0,Gross value added
Netherlands,0.0,Gross value added
Poland,0.0,Gross value added
Portugal,0.0,Gross value added
Romania,0.0,Gross value added
Slovakia,0.0,Gross value added
Slovenia,0.0,Gross value added
Spain,0.0,Gross value added
Sweden,0.0,Gross value added
Austria,0.0,Investment
Belgium,0.0,Investment
Bulgaria,0.0,Investment
Croatia,0.0,Investment
Cyprus,0.0,Investment
Czechia,0.0,Investment
Denmark,0.0,Investment
Estonia,0.0,Investment
Finland,0.0,Investment
France,0.0,Investment
Germany,0.0,Investment
Greece,0.0,Investment
Hungary,0.0,Investment
Ireland,0.0,Investment
Italy,0.0,Investment
Latvia,0.0,Investment
Lithuania,0.0,Investment
Luxembourg,0.0,Investment
Malta,0.0,Investment
Netherlands,0.0,Investment
Poland,0.0,Investment
Portugal,0.0,Investment
Romania,0.0,Investment
Slovakia,0.0,Investment
Slovenia,0.0,Investment
Spain,0.0,Investment
Sweden,0.0,Investment
