country_name,recycling_rate
Albania,0.8333333333333334
Austria,0.0
Belgium,0.0
Bosnia and Herzegovina,0.5416666666666666
Bulgaria,0.0
Croatia,0.2916666666666667
Cyprus,0.0
Czechia,0.0
Denmark,0.041666666666666664
Estonia,0.0
Euro area – 20 countries (from 2023),1.0
European Union - 27 countries (from 2020),0.0
Finland,0.0
France,0.0
Germany,0.0
Greece,0.0
Hungary,0.0
Iceland,0.20833333333333334
Ireland,0.20833333333333334
Italy,0.0
Kosovo*,0.8333333333333334
Latvia,0.041666666666666664
Lithuania,0.0
Luxembourg,0.0
Malta,0.0
Montenegro,0.75
Netherlands,0.0
North Macedonia,0.8333333333333334
Norway,0.0
Poland,0.0
Portugal,0.0
Romania,0.0
Serbia,0.25
Slovakia,0.0
Slovenia,0.0
Spain,0.0
Sweden,0.0
Switzerland,0.0
Türkiye,0.75
