country_name,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita
Albania,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.28,0.0
Austria,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.04,0.04
Belgium,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.04,0.04
Bosnia and Herzegovina,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.36,0.0
Bulgaria,0.0,0.0,0.0,0.12,0.16,0.0,1.0,0.08,0.04,0.0
Croatia,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.08,0.0
Cyprus,0.0,0.0,0.04,0.12,0.2,0.0,0.0,0.08,0.04,0.0
Czechia,0.0,0.0,0.0,0.12,0.32,0.0,0.0,0.08,0.2,0.04
Denmark,0.0,0.0,0.0,0.12,0.28,0.0,0.0,0.08,0.16,0.04
Estonia,0.0,0.0,0.0,0.12,0.32,0.0,0.0,0.08,0.12,0.04
Finland,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.12,0.04
France,0.0,0.0,0.0,0.12,0.32,0.0,0.0,0.08,0.04,0.04
Germany,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.04,0.04
Greece,0.0,0.0,0.0,0.12,0.4,0.0,0.0,0.08,0.0,0.04
Hungary,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.16,0.04
Iceland,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.08,0.04
Ireland,0.0,0.0,0.04,0.12,0.2,0.0,0.0,0.08,0.2,0.04
Italy,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.04,0.04
Kosovo*,0.32,0.0,0.92,1.0,1.0,0.0,0.32,0.28,1.0,0.32
Latvia,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.2,0.04
Liechtenstein,0.96,0.0,0.08,0.08,0.16,0.0,0.68,0.08,0.96,1.0
Lithuania,0.0,0.0,0.04,0.12,0.28,0.0,0.0,0.08,0.04,0.04
Luxembourg,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.2,0.04
Malta,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.36,0.0
Montenegro,0.0,0.0,0.16,0.32,0.24,0.0,0.0,0.24,0.56,0.24
Netherlands,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.04,0.04
North Macedonia,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.32,0.0
Norway,0.0,0.0,0.04,0.12,0.16,0.0,0.0,0.08,0.16,0.04
Poland,0.0,0.0,0.0,0.12,0.2,0.0,0.0,0.08,0.32,0.0
Portugal,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.0,0.04
Romania,0.0,0.0,0.0,0.12,0.16,0.0,0.0,0.08,0.04,0.0
Serbia,0.0,0.0,0.16,0.12,0.24,0.0,0.0,0.08,0.36,0.0
Slovakia,0.0,0.0,0.0,0.12,0.76,0.0,0.0,0.08,0.28,0.04
Slovenia,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0,0.041666666666666664,0.0,0.0
Spain,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0,0.041666666666666664,0.0,0.0
Sweden,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0
Switzerland,0.0,0.0,0.0,0.08333333333333333,0.20833333333333334,0.0,0.0,0.041666666666666664,0.0,0.0
Türkiye,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0,0.041666666666666664,0.0,0.0
