country_name,year,recycling_rate,flag,recycling_rate_filled
Albania,2000,,,18.1
Albania,2001,,,18.1
Albania,2002,,,18.1
Albania,2003,,,18.1
Albania,2004,,,18.1
Albania,2005,,,18.1
Albania,2006,,,18.1
Albania,2007,,,18.1
Albania,2008,,,18.1
Albania,2009,,,18.1
Albania,2010,,,18.1
Albania,2011,,,18.1
Albania,2012,,,18.1
Albania,2013,,,18.1
Albania,2014,,,18.1
Albania,2015,,,18.1
Albania,2016,,,18.1
Albania,2017,,,18.1
Albania,2018,,,18.1
Albania,2019,,,18.1
Albania,2020,18.1,,18.1
Albania,2021,18.7,,18.7
Albania,2022,18.9,,18.9
Albania,2023,18.8,,18.8
Austria,2000,63.4,,63.4
Austria,2001,64.3,e,64.3
Austria,2002,62.5,e,62.5
Austria,2003,64.2,e,64.2
Austria,2004,57.4,,57.4
Austria,2005,58.3,e,58.3
Austria,2006,59.2,,59.2
Austria,2007,60.2,,60.2
Austria,2008,63.2,,63.2
Austria,2009,61.9,,61.9
Austria,2010,59.4,,59.4
Austria,2011,56.7,,56.7
Austria,2012,57.7,,57.7
Austria,2013,57.7,,57.7
Austria,2014,56.3,,56.3
Austria,2015,56.9,,56.9
Austria,2016,57.6,,57.6
Austria,2017,57.8,,57.8
Austria,2018,57.7,,57.7
Austria,2019,58.2,,58.2
Austria,2020,62.3,b,62.3
Austria,2021,62.5,,62.5
Austria,2022,62.6,,62.6
Austria,2023,62.8,,62.8
Bosnia and Herzegovina,2000,,,0.0
Bosnia and Herzegovina,2001,,,0.0
Bosnia and Herzegovina,2002,,,0.0
Bosnia and Herzegovina,2003,,,0.0
Bosnia and Herzegovina,2004,,,0.0
Bosnia and Herzegovina,2005,,,0.0
Bosnia and Herzegovina,2006,,,0.0
Bosnia and Herzegovina,2007,,,0.0
Bosnia and Herzegovina,2008,0.0,,0.0
Bosnia and Herzegovina,2009,0.0,,0.0
Bosnia and Herzegovina,2010,0.0,,0.0
Bosnia and Herzegovina,2011,0.0,,0.0
Bosnia and Herzegovina,2012,0.0,,0.0
Bosnia and Herzegovina,2013,0.0,,0.0
Bosnia and Herzegovina,2014,0.0,,0.0
Bosnia and Herzegovina,2015,0.0,,0.0
Bosnia and Herzegovina,2016,0.0,,0.0
Bosnia and Herzegovina,2017,0.0,,0.0
Bosnia and Herzegovina,2018,,,0.16666666666666666
Bosnia and Herzegovina,2019,,,0.3333333333333333
Bosnia and Herzegovina,2020,,,0.5
Bosnia and Herzegovina,2021,,,0.6666666666666666
Bosnia and Herzegovina,2022,,,0.8333333333333333
Bosnia and Herzegovina,2023,1.0,e,1.0
Belgium,2000,49.7,,49.7
Belgium,2001,50.4,,50.4
Belgium,2002,51.5,,51.5
Belgium,2003,52.9,,52.9
Belgium,2004,53.5,,53.5
Belgium,2005,55.6,,55.6
Belgium,2006,56.1,,56.1
Belgium,2007,56.8,,56.8
Belgium,2008,52.7,,52.7
Belgium,2009,53.9,,53.9
Belgium,2010,54.8,,54.8
Belgium,2011,54.4,,54.4
Belgium,2012,53.4,,53.4
Belgium,2013,52.8,,52.8
Belgium,2014,53.8,,53.8
Belgium,2015,53.5,,53.5
Belgium,2016,53.5,,53.5
Belgium,2017,53.9,,53.9
Belgium,2018,54.4,,54.4
Belgium,2019,54.7,,54.7
Belgium,2020,51.4,,51.4
Belgium,2021,55.5,,55.5
Belgium,2022,54.7,,54.7
Belgium,2023,55.8,,55.8
Bulgaria,2000,15.5,e,15.5
Bulgaria,2001,16.1,e,16.1
Bulgaria,2002,16.3,e,16.3
Bulgaria,2003,16.5,e,16.5
Bulgaria,2004,17.2,be,17.2
Bulgaria,2005,18.3,e,18.3
Bulgaria,2006,19.1,e,19.1
Bulgaria,2007,20.6,e,20.6
Bulgaria,2008,19.4,e,19.4
Bulgaria,2009,19.9,e,19.9
Bulgaria,2010,24.5,,24.5
Bulgaria,2011,26.2,,26.2
Bulgaria,2012,25.0,,25.0
Bulgaria,2013,28.5,,28.5
Bulgaria,2014,23.1,,23.1
Bulgaria,2015,29.4,,29.4
Bulgaria,2016,31.8,,31.8
Bulgaria,2017,34.6,,34.6
Bulgaria,2018,31.5,,31.5
Bulgaria,2019,34.6,i,34.6
Bulgaria,2020,35.2,,35.2
Bulgaria,2021,28.2,,28.2
Bulgaria,2022,24.6,,24.6
Bulgaria,2023,16.7,,16.7
Switzerland,2000,45.3,,45.3
Switzerland,2001,46.6,,46.6
Switzerland,2002,46.7,,46.7
Switzerland,2003,47.5,,47.5
Switzerland,2004,48.7,,48.7
Switzerland,2005,50.6,,50.6
Switzerland,2006,50.1,,50.1
Switzerland,2007,51.0,,51.0
Switzerland,2008,49.9,,49.9
Switzerland,2009,51.3,,51.3
Switzerland,2010,50.5,,50.5
Switzerland,2011,50.1,,50.1
Switzerland,2012,50.0,e,50.0
Switzerland,2013,51.0,e,51.0
Switzerland,2014,53.5,be,53.5
Switzerland,2015,52.7,e,52.7
Switzerland,2016,52.5,e,52.5
Switzerland,2017,52.5,e,52.5
Switzerland,2018,52.5,e,52.5
Switzerland,2019,53.0,e,53.0
Switzerland,2020,52.8,,52.8
Switzerland,2021,52.3,,52.3
Switzerland,2022,52.2,,52.2
Switzerland,2023,52.0,,52.0
Cyprus,2000,3.0,,3.0
Cyprus,2001,3.1,,3.1
Cyprus,2002,3.2,,3.2
Cyprus,2003,3.1,,3.1
Cyprus,2004,3.2,,3.2
Cyprus,2005,3.7,,3.7
Cyprus,2006,4.4,b,4.4
Cyprus,2007,5.2,,5.2
Cyprus,2008,7.5,,7.5
Cyprus,2009,8.3,,8.3
Cyprus,2010,11.2,,11.2
Cyprus,2011,11.2,,11.2
Cyprus,2012,12.8,,12.8
Cyprus,2013,13.9,,13.9
Cyprus,2014,14.8,,14.8
Cyprus,2015,16.7,,16.7
Cyprus,2016,16.3,,16.3
Cyprus,2017,16.5,,16.5
Cyprus,2018,16.8,,16.8
Cyprus,2019,16.9,,16.9
Cyprus,2020,17.0,,17.0
Cyprus,2021,14.0,,14.0
Cyprus,2022,14.8,,14.8
Cyprus,2023,16.0,p,16.0
Czechia,2000,0.9,,0.9
Czechia,2001,0.9,b,0.9
Czechia,2002,0.9,,0.9
Czechia,2003,0.9,,0.9
Czechia,2004,5.5,be,5.5
Czechia,2005,6.2,e,6.2
Czechia,2006,7.4,e,7.4
Czechia,2007,10.1,e,10.1
Czechia,2008,10.4,e,10.4
Czechia,2009,12.4,e,12.4
Czechia,2010,15.8,e,15.8
Czechia,2011,16.9,e,16.9
Czechia,2012,23.2,e,23.2
Czechia,2013,24.2,e,24.2
Czechia,2014,25.4,e,25.4
Czechia,2015,29.7,e,29.7
Czechia,2016,33.6,e,33.6
Czechia,2017,32.1,b,32.1
Czechia,2018,32.2,,32.2
Czechia,2019,33.3,,33.3
Czechia,2020,40.5,,40.5
Czechia,2021,43.3,,43.3
Czechia,2022,41.4,,41.4
Czechia,2023,43.5,,43.5
Germany,2000,52.5,i,52.5
Germany,2001,52.3,i,52.3
Germany,2002,56.1,,56.1
Germany,2003,57.8,,57.8
Germany,2004,56.4,,56.4
Germany,2005,60.9,,60.9
Germany,2006,62.1,,62.1
Germany,2007,63.2,,63.2
Germany,2008,63.8,,63.8
Germany,2009,63.1,,63.1
