country_name,year,recycling_rate_filled_glass,recycling_rate_filled_metallic,recycling_rate_filled_packaging,recycling_rate_filled_paper,recycling_rate_filled_plastic,recycling_rate_filled_wooden,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,flag_glass,flag_metallic,flag_packaging,flag_paper,flag_plastic,flag_wooden
Austria,2012,82.9,61.4,65.9,84.9,34.7,21.5,82.9,61.4,65.9,84.9,34.7,21.5,,,,,,
Austria,2013,84.8,87.5,66.6,84.3,34.4,20.3,84.8,87.5,66.6,84.3,34.4,20.3,,,,,,
Austria,2014,84.5,87.0,66.6,84.9,33.6,19.9,84.5,87.0,66.6,84.9,33.6,19.9,,,,,,
Austria,2015,85.6,87.2,67.1,84.9,33.6,18.1,85.6,87.2,67.1,84.9,33.6,18.1,,,,,,
Austria,2016,85.2,88.3,66.8,84.9,33.6,17.7,85.2,88.3,66.8,84.9,33.6,17.7,,,,,,
Austria,2017,84.1,85.6,65.6,83.5,33.4,19.9,84.1,85.6,65.6,83.5,33.4,19.9,,,,,,
Austria,2018,83.9,84.4,65.5,84.2,31.9,20.6,83.9,84.4,65.5,84.2,31.9,20.6,,,,,,
Austria,2019,81.1,84.7,65.4,84.7,30.8,20.5,81.1,84.7,65.4,84.7,30.8,20.5,,,,,,
Austria,2020,81.6,66.1,63.7,80.0,25.3,29.6,81.6,66.1,63.7,80.0,25.3,29.6,,b,,,b,
Austria,2021,82.3,73.9,65.6,81.0,25.9,37.0,82.3,73.9,65.6,81.0,25.9,37.0,,,,,,
Austria,2022,86.3,74.6,66.2,80.5,25.4,31.6,86.3,74.6,66.2,80.5,25.4,31.6,,,,,,
Austria,2023,79.3,83.3,64.9,79.6,26.9,35.8,79.3,83.3,64.9,79.6,26.9,35.8,,,,,,
Belgium,2012,100.0,97.3,80.3,89.8,41.5,66.1,100.0,97.3,80.3,89.8,41.5,66.1,,,,,,
Belgium,2013,100.0,97.0,78.7,89.1,39.0,59.0,100.0,97.0,78.7,89.1,39.0,59.0,,,,,,
Belgium,2014,100.0,98.2,81.3,90.6,41.8,72.2,100.0,98.2,81.3,90.6,41.8,72.2,,,,,,
Belgium,2015,100.0,98.1,81.5,90.7,42.6,74.9,100.0,98.1,81.5,90.7,42.6,74.9,,,,,,
Belgium,2016,100.0,98.3,81.9,89.4,43.4,80.9,100.0,98.3,81.9,89.4,43.4,80.9,,,,,,
Belgium,2017,100.0,98.5,83.8,92.9,44.5,83.7,100.0,98.5,83.8,92.9,44.5,83.7,,,,,,
Belgium,2018,100.0,98.2,85.3,95.6,42.4,90.6,100.0,98.2,85.3,95.6,42.4,90.6,,,,,,
Belgium,2019,100.0,95.0,83.5,92.3,47.3,80.5,100.0,95.0,83.5,92.3,47.3,80.5,,,,,,
Belgium,2020,96.9,96.2,79.7,89.4,44.7,71.6,96.9,96.2,79.7,89.4,44.7,71.6,,,,,,
Belgium,2021,97.5,96.6,80.4,88.6,49.2,71.8,97.5,96.6,80.4,88.6,49.2,71.8,,,,,,
Belgium,2022,97.8,96.4,80.4,86.1,54.2,70.6,97.8,96.4,80.4,86.1,54.2,70.6,,,,,,
Belgium,2023,92.9,96.8,79.7,83.9,59.5,69.2,92.9,96.8,79.7,83.9,59.5,69.2,,,,,,
Bulgaria,2012,60.5,75.6,66.5,94.2,40.7,53.1,60.5,75.6,66.5,94.2,40.7,53.1,,,,,,
Bulgaria,2013,61.2,69.8,65.7,88.8,41.3,58.5,61.2,69.8,65.7,88.8,41.3,58.5,,,,,,
Bulgaria,2014,63.2,67.1,62.0,70.1,64.1,37.8,63.2,67.1,62.0,70.1,64.1,37.8,,,,,,
Bulgaria,2015,62.9,69.2,64.1,78.7,60.8,32.7,62.9,69.2,64.1,78.7,60.8,32.7,,,,,,
Bulgaria,2016,69.8,59.4,63.8,80.1,52.6,39.0,69.8,59.4,63.8,80.1,52.6,39.0,,,,,,
Bulgaria,2017,64.0,73.4,65.6,79.6,64.8,31.9,64.0,73.4,65.6,79.6,64.8,31.9,,,,,,
Bulgaria,2018,77.6,80.5,60.4,63.3,59.2,21.3,77.6,80.5,60.4,63.3,59.2,21.3,,,,,,
Bulgaria,2019,61.7,75.9,61.2,93.9,50.6,31.5,61.7,75.9,61.2,93.9,50.6,31.5,,,,,,
