country_name,year,recycling_rate_filled_glass,recycling_rate_filled_metallic,recycling_rate_filled_packaging,recycling_rate_filled_paper,recycling_rate_filled_plastic,recycling_rate_filled_wooden,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,flag_glass,flag_metallic,flag_packaging,flag_paper,flag_plastic,flag_wooden,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,gdp_per_capita_filled,urban_population_pct_filled,internet_users_pct_filled,renewable_energy_pct_filled,tourism_arrivals_filled,population_total_filled,manufacturing_value_added_pct_gdp_filled,government_effectiveness_estimate_filled
Austria,2012,82.9,61.4,65.9,84.9,34.7,21.5,82.9,61.4,65.9,84.9,34.7,21.5,,,,,,,44221.4599530893,67.2085909812279,80.03,34.4,24151000.0,8429991.0,17.2564830895639,1.56018972396851,44221.4599530893,67.2085909812279,80.03,34.4,24151000.0,8429991.0,17.2564830895639,1.56018972396851
Austria,2013,84.8,87.5,66.6,84.3,34.4,20.3,84.8,87.5,66.6,84.3,34.4,20.3,,,,,,,43851.3675497404,67.2981308784247,80.6188,34.6,24813000.0,8479823.0,17.1063898788247,1.57137954235077,43851.3675497404,67.2981308784247,80.6188,34.6,24813000.0,8479823.0,17.1063898788247,1.57137954235077
Austria,2014,84.5,87.0,66.6,84.9,33.6,19.9,84.5,87.0,66.6,84.9,33.6,19.9,,,,,,,43838.8345892137,67.4154327591781,80.9958,35.7,25291000.0,8546356.0,17.1867790689422,1.5529956817627,43838.8345892137,67.4154327591781,80.9958,35.7,25291000.0,8546356.0,17.1867790689422,1.5529956817627
Austria,2015,85.6,87.2,67.1,84.9,33.6,18.1,85.6,87.2,67.1,84.9,33.6,18.1,,,,,,,43915.228020857,67.5576175537383,83.9401,34.8,26728000.0,8642699.0,17.242928730216,1.4509791135788,43915.228020857,67.5576175537383,83.9401,34.8,26728000.0,8642699.0,17.242928730216,1.4509791135788
Austria,2016,85.2,88.3,66.8,84.9,33.6,17.7,85.2,88.3,66.8,84.9,33.6,17.7,,,,,,,44362.6702805116,67.7218061923556,84.3237,34.6,28121000.0,8736668.0,17.6682251530651,1.47481060028076,44362.6702805116,67.7218061923556,84.3237,34.6,28121000.0,8736668.0,17.6682251530651,1.47481060028076
Austria,2017,84.1,85.6,65.6,83.5,33.4,19.9,84.1,85.6,65.6,83.5,33.4,19.9,,,,,,,45056.6385912412,67.9051196052802,87.9356,34.0,29460000.0,8797566.0,17.4427051605451,1.46775150299072,45056.6385912412,67.9051196052802,87.9356,34.0,29460000.0,8797566.0,17.4427051605451,1.46775150299072
Austria,2018,83.9,84.4,65.5,84.2,31.9,20.6,83.9,84.4,65.5,84.2,31.9,20.6,,,,,,,45951.5819164034,68.1046787227623,87.4791,34.1,30816000.0,8840521.0,17.3211161045372,1.45611667633057,45951.5819164034,68.1046787227623,87.4791,34.1,30816000.0,8840521.0,17.3211161045372,1.45611667633057
Austria,2019,81.1,84.7,65.4,84.7,30.8,20.5,81.1,84.7,65.4,84.7,30.8,20.5,,,,,,,46550.5622459492,68.3176044750522,87.7522,34.0,31884000.0,8879920.0,17.1022858668807,1.49212622642517,46550.5622459492,68.3176044750522,87.7522,34.0,31884000.0,8879920.0,17.1022858668807,1.49212622642517
Austria,2020,81.6,66.1,63.7,80.0,25.3,29.6,81.6,66.1,63.7,80.0,25.3,29.6,,b,,,b,,43428.6983137234,68.5410177924001,87.5294,35.8,15091000.0,8916864.0,16.5973264696294,1.60586321353912,43428.6983137234,68.5410177924001,87.5294,35.8,15091000.0,8916864.0,16.5973264696294,1.60586321353912
Austria,2021,82.3,73.9,65.6,81.0,25.9,37.0,82.3,73.9,65.6,81.0,25.9,37.0,,,,,,,45368.6434337368,68.773601700253,92.5292,36.0,,8955797.0,16.9794494072387,1.52829468250275,45368.6434337368,68.773601700253,92.5292,36.0,15091000.0,8955797.0,16.9794494072387,1.52829468250275
