country_name,year,pollut_environm_tax_mill,total_environm_tax_mill,pollut_environm_tax_mill_filled,total_environm_tax_mill_filled
Austria,1995,30.29,3979.01,30.29,3979.01
Austria,1996,32.24,4055.87,32.24,4055.87
Austria,1997,41.2,4422.95,41.2,4422.95
Austria,1998,52.18,4489.53,52.18,4489.53
Austria,1999,73.93,4711.28,73.93,4711.28
Austria,2000,82.31,5178.45,82.31,5178.45
Austria,2001,99.84,5686.76,99.84,5686.76
Austria,2002,102.97,5980.4,102.97,5980.4
Austria,2003,108.72,6318.45,108.72,6318.45
Austria,2004,69.48,6459.79,69.48,6459.79
Austria,2005,59.05,6535.57,59.05,6535.57
Austria,2006,83.22,6551.2,83.22,6551.2
Austria,2007,82.61,6933.4,82.61,6933.4
Austria,2008,75.37,6995.98,75.37,6995.98
Austria,2009,69.75,6873.5,69.75,6873.5
Austria,2010,62.3,7067.04,62.3,7067.04
Austria,2011,64.39,7727.82,64.39,7727.82
Austria,2012,72.16,7931.18,72.16,7931.18
Austria,2013,72.89,8229.37,72.89,8229.37
Austria,2014,75.7,8646.05,75.7,8646.05
Austria,2015,79.11,9035.19,79.11,9035.19
Austria,2016,81.26,9411.25,81.26,9411.25
Austria,2017,86.35,9699.45,86.35,9699.45
Austria,2018,104.02,9570.78,104.02,9570.78
Austria,2019,98.68,9683.84,98.68,9683.84
Austria,2020,75.09,8812.41,75.09,8812.41
Austria,2021,85.39,9777.68,85.39,9777.68
Austria,2022,87.55,8522.73,87.55,8522.73
Austria,2023,80.69,9533.28,80.69,9533.28
Belgium,1995,346.35,5303.99,346.35,5303.99
Belgium,1996,460.08,5851.04,460.08,5851.04
Belgium,1997,528.37,5945.31,528.37,5945.31
Belgium,1998,512.73,5985.54,512.73,5985.54
Belgium,1999,525.0,6283.8,525.0,6283.8
Belgium,2000,484.8,6167.0,484.8,6167.0
Belgium,2001,465.7,6320.6,465.7,6320.6
Belgium,2002,453.2,6401.6,453.2,6401.6
Belgium,2003,475.7,6796.2,475.7,6796.2
Belgium,2004,649.3,7518.3,649.3,7518.3
Belgium,2005,628.5,7855.7,628.5,7855.7
Belgium,2006,523.2,7658.6,523.2,7658.6
Belgium,2007,498.9,8023.2,498.9,8023.2
Belgium,2008,509.4,8081.1,509.4,8081.1
Belgium,2009,505.4,8188.5,505.4,8188.5
Belgium,2010,531.6,8821.7,531.6,8821.7
Belgium,2011,515.8,9572.9,515.8,9572.9
Belgium,2012,512.5,9626.6,512.5,9626.6
Belgium,2013,519.1,9843.9,519.1,9843.9
Belgium,2014,509.9,10164.9,509.9,10164.9
Belgium,2015,497.3,10594.1,497.3,10594.1
Belgium,2016,560.3,11480.2,560.3,11480.2
Belgium,2017,540.8,11993.6,540.8,11993.6
Belgium,2018,583.9,12381.1,583.9,12381.1
Belgium,2019,574.1,12609.7,574.1,12609.7
Belgium,2020,585.8,11602.6,585.8,11602.6
Belgium,2021,547.6,12528.9,547.6,12528.9
Belgium,2022,582.8,12376.3,582.8,12376.3
Belgium,2023,608.05,13820.15,608.05,13820.15
Bulgaria,1995,0.65,174.44,0.65,174.44
Bulgaria,1996,0.63,80.05,0.63,80.05
Bulgaria,1997,0.17,116.03,0.17,116.03
Bulgaria,1998,0.53,313.89,0.53,313.89
Bulgaria,1999,0.8,314.87,0.8,314.87
Bulgaria,2000,0.76,401.54,0.76,401.54
Bulgaria,2001,0.95,394.85,0.95,394.85
Bulgaria,2002,16.41,413.01,16.41,413.01
Bulgaria,2003,26.86,526.89,26.86,526.89
Bulgaria,2004,37.3,633.47,37.3,633.47
Bulgaria,2005,34.1,712.49,34.1,712.49
Bulgaria,2006,31.74,762.68,31.74,762.68
Bulgaria,2007,25.25,1036.06,25.25,1036.06
Bulgaria,2008,47.39,1221.74,47.39,1221.74
Bulgaria,2009,27.96,1062.74,27.96,1062.74
Bulgaria,2010,28.95,1051.61,28.95,1051.61
Bulgaria,2011,34.98,1107.8,34.98,1107.8
Bulgaria,2012,20.21,1118.56,20.21,1118.56
Bulgaria,2013,31.84,1200.95,31.84,1200.95
Bulgaria,2014,30.62,1220.69,30.62,1220.69
Bulgaria,2015,30.63,1351.75,30.63,1351.75
Bulgaria,2016,32.68,1451.17,32.68,1451.17
Bulgaria,2017,30.89,1468.91,30.89,1468.91
Bulgaria,2018,31.94,1470.47,31.94,1470.47
Bulgaria,2019,31.62,1839.15,31.62,1839.15
Bulgaria,2020,26.57,1859.12,26.57,1859.12
Bulgaria,2021,27.05,1978.7,27.05,1978.7
Bulgaria,2022,25.99,4095.16,25.99,4095.16
Bulgaria,2023,31.09,3176.26,31.09,3176.26
Croatia,1995,147.38,551.21,147.38,551.21
Croatia,1996,153.3,591.23,153.3,591.23
Croatia,1997,150.73,576.05,150.73,576.05
Croatia,1998,160.81,653.85,160.81,653.85
Croatia,1999,155.46,660.94,155.46,660.94
Croatia,2000,144.46,799.81,144.46,799.81
Croatia,2001,160.44,910.87,160.44,910.87
Croatia,2002,162.34,1158.92,162.34,1158.92
Croatia,2003,171.22,1266.66,171.22,1266.66
Croatia,2004,183.07,1334.76,183.07,1334.76
Croatia,2005,180.24,1396.68,180.24,1396.68
Croatia,2006,305.4,1610.08,305.4,1610.08
Croatia,2007,419.61,1785.43,419.61,1785.43
Croatia,2008,456.39,1823.36,456.39,1823.36
Croatia,2009,420.11,1694.91,420.11,1694.91
Croatia,2010,381.19,1751.65,381.19,1751.65
Croatia,2011,357.07,1557.14,357.07,1557.14
Croatia,2012,328.45,1453.06,328.45,1453.06
Croatia,2013,333.11,1583.17,333.11,1583.17
Croatia,2014,366.29,1746.44,366.29,1746.44
Croatia,2015,404.42,1910.08,404.42,1910.08
Croatia,2016,421.57,2043.64,421.57,2043.64
Croatia,2017,436.41,2146.73,436.41,2146.73
Croatia,2018,460.27,2295.46,460.27,2295.46
Croatia,2019,455.53,2366.11,455.53,2366.11
Croatia,2020,421.53,2057.66,421.53,2057.66
Croatia,2021,452.0,2257.57,452.0,2257.57
Croatia,2022,475.03,2272.53,475.03,2272.53
Croatia,2023,505.22,2575.87,505.22,2575.87
Cyprus,1995,39.76,238.51,39.76,238.51
Cyprus,1996,40.51,240.74,40.51,240.74
Cyprus,1997,41.97,230.58,41.97,230.58
Cyprus,1998,43.01,252.94,43.01,252.94
Cyprus,1999,43.88,266.73,43.88,266.73
Cyprus,2000,45.11,311.89,45.11,311.89
Cyprus,2001,45.83,364.34,45.83,364.34
Cyprus,2002,46.77,374.45,46.77,374.45
Cyprus,2003,46.95,492.25,46.95,492.25
Cyprus,2004,48.05,553.71,48.05,553.71
Cyprus,2005,49.4,548.61,49.4,548.61
Cyprus,2006,50.45,552.8,50.45,552.8
Cyprus,2007,50.83,603.22,50.83,603.22
Cyprus,2008,51.58,625.78,51.58,625.78
Cyprus,2009,52.57,572.57,52.57,572.57
Cyprus,2010,53.59,587.99,53.59,587.99
Cyprus,2011,54.63,600.13,54.63,600.13
Cyprus,2012,57.09,558.19,57.09,558.19
Cyprus,2013,57.77,546.77,57.77,546.77
Cyprus,2014,58.77,591.97,58.77,591.97
Cyprus,2015,59.89,603.29,59.89,603.29
Cyprus,2016,61.23,614.33,61.23,614.33
Cyprus,2017,64.76,662.26,64.76,662.26
Cyprus,2018,67.9,674.6,67.9,674.6
Cyprus,2019,67.77,644.17,67.77,644.17
Cyprus,2020,67.98,580.58,67.98,580.58
Cyprus,2021,68.8,639.3,68.8,639.3
Cyprus,2022,67.44,610.14,67.44,610.14
Cyprus,2023,71.35,661.05,71.35,661.05
Czechia,1995,87.01,1205.44,87.01,1205.44
Czechia,1996,78.21,1297.33,78.21,1297.33
Czechia,1997,72.84,1252.16,72.84,1252.16
Czechia,1998,48.21,1299.15,48.21,1299.15
Czechia,1999,41.37,1426.74,41.37,1426.74
Czechia,2000,35.03,1511.42,35.03,1511.42
Czechia,2001,32.49,1762.01,32.49,1762.01
Czechia,2002,36.36,1979.81,36.36,1979.81
Czechia,2003,34.51,2068.61,34.51,2068.61
Czechia,2004,29.13,2335.42,29.13,2335.42
Czechia,2005,30.15,2708.41,30.15,2708.41
Czechia,2006,27.77,2950.22,27.77,2950.22
Czechia,2007,33.42,3198.7,33.42,3198.7
Czechia,2008,31.95,3643.79,31.95,3643.79
Czechia,2009,46.83,3427.58,46.83,3427.58
Czechia,2010,47.78,3577.44,47.78,3577.44
Czechia,2011,45.38,3846.08,45.38,3846.08
Czechia,2012,38.05,3606.43,38.05,3606.43
Czechia,2013,28.48,3351.35,28.48,3351.35
Czechia,2014,29.27,3346.96,29.27,3346.96
Czechia,2015,30.98,3477.33,30.98,3477.33
Czechia,2016,25.97,3728.38,25.97,3728.38
Czechia,2017,22.37,3896.98,22.37,3896.98
Czechia,2018,25.03,4129.14,25.03,4129.14
Czechia,2019,24.04,4594.86,24.04,4594.86
Czechia,2020,29.86,4148.06,29.86,4148.06
Czechia,2021,26.64,4373.44,26.64,4373.44
Czechia,2022,25.52,4076.53,25.52,4076.53
Czechia,2023,30.7,4957.42,30.7,4957.42
Denmark,1995,304.71,6099.43,304.71,6099.43
Denmark,1996,427.16,6709.1,427.16,6709.1
Denmark,1997,527.1,6994.9,527.1,6994.9
Denmark,1998,634.94,8321.48,634.94,8321.48
Denmark,1999,673.78,8821.01,673.78,8821.01
Denmark,2000,621.66,8604.94,621.66,8604.94
Denmark,2001,614.32,8865.72,614.32,8865.72
Denmark,2002,639.85,9488.2,639.85,9488.2
Denmark,2003,622.62,9294.17,622.62,9294.17
Denmark,2004,627.09,10097.34,627.09,10097.34
Denmark,2005,630.3,10474.78,630.3,10474.78
Denmark,2006,649.06,10565.93,649.06,10565.93
Denmark,2007,683.1,11082.06,683.1,11082.06
Denmark,2008,667.72,10077.75,667.72,10077.75
Denmark,2009,599.19,9235.14,599.19,9235.14
Denmark,2010,503.44,9768.48,503.44,9768.48
Denmark,2011,510.19,9956.58,510.19,9956.58
Denmark,2012,587.79,10095.62,587.79,10095.62
Denmark,2013,657.93,10683.28,657.93,10683.28
Denmark,2014,569.15,10651.75,569.15,10651.75
Denmark,2015,624.73,10846.5,624.73,10846.5
Denmark,2016,555.7,11082.03,555.7,11082.03
Denmark,2017,508.68,10790.34,508.68,10790.34
Denmark,2018,525.37,10815.22,525.37,10815.22
Denmark,2019,497.01,10246.59,497.01,10246.59
Denmark,2020,517.51,9891.28,517.51,9891.28
Denmark,2021,549.46,9703.62,549.46,9703.62
Denmark,2022,540.38,9040.24,540.38,9040.24
Denmark,2023,519.86,7716.67,519.86,7716.67
Estonia,1995,3.81,25.61,3.81,25.61
Estonia,1996,4.74,52.67,4.74,52.67
Estonia,1997,6.59,68.18,6.59,68.18
Estonia,1998,7.18,95.41,7.18,95.41
Estonia,1999,7.83,90.67,7.83,90.67
Estonia,2000,15.28,104.39,15.28,104.39
Estonia,2001,21.37,147.35,21.37,147.35
Estonia,2002,22.48,154.59,22.48,154.59
Estonia,2003,26.83,164.53,26.83,164.53
Estonia,2004,23.0,203.87,23.0,203.87
Estonia,2005,31.93,255.72,31.93,255.72
Estonia,2006,43.53,295.95,43.53,295.95
Estonia,2007,54.57,362.05,54.57,362.05
Estonia,2008,54.73,396.75,54.73,396.75
Estonia,2009,53.54,443.87,53.54,443.87
Estonia,2010,45.2,485.49,45.2,485.49
Estonia,2011,48.68,500.55,48.68,500.55
Estonia,2012,46.36,560.94,46.36,560.94
Estonia,2013,52.76,549.42,52.76,549.42
Estonia,2014,57.98,590.22,57.98,590.22
Estonia,2015,59.44,629.38,59.44,629.38
Estonia,2016,65.38,719.64,65.38,719.64
Estonia,2017,68.42,763.88,68.42,763.88
Estonia,2018,71.98,781.77,71.98,781.77
Estonia,2019,59.12,974.59,59.12,974.59
Estonia,2020,44.64,747.47,44.64,747.47
Estonia,2021,48.7,818.88,48.7,818.88
Estonia,2022,59.34,923.91,59.34,923.91
Estonia,2023,52.15,995.14,52.15,995.14
European Union - 27 countries (from 2020),1995,5302.0,163637.46,5302.0,163637.46
European Union - 27 countries (from 2020),1996,6068.84,175161.21,6068.84,175161.21
European Union - 27 countries (from 2020),1997,5948.61,177813.2,5948.61,177813.2
European Union - 27 countries (from 2020),1998,6443.49,186225.81,6443.49,186225.81
European Union - 27 countries (from 2020),1999,6468.3,199230.92,6468.3,199230.92
European Union - 27 countries (from 2020),2000,7270.13,203466.33,7270.13,203466.33
European Union - 27 countries (from 2020),2001,7447.74,212219.83,7447.74,212219.83
European Union - 27 countries (from 2020),2002,7957.66,221348.94,7957.66,221348.94
European Union - 27 countries (from 2020),2003,7850.31,231288.33,7850.31,231288.33
European Union - 27 countries (from 2020),2004,7950.89,241164.93,7950.89,241164.93
European Union - 27 countries (from 2020),2005,8012.94,249050.84,8012.94,249050.84
European Union - 27 countries (from 2020),2006,8673.12,258008.67,8673.12,258008.67
European Union - 27 countries (from 2020),2007,9178.15,264534.26,9178.15,264534.26
European Union - 27 countries (from 2020),2008,9654.87,267315.44,9654.87,267315.44
European Union - 27 countries (from 2020),2009,9059.23,266578.13,9059.23,266578.13
European Union - 27 countries (from 2020),2010,9154.82,273355.08,9154.82,273355.08
European Union - 27 countries (from 2020),2011,9533.66,290990.96,9533.66,290990.96
European Union - 27 countries (from 2020),2012,9887.41,297600.15,9887.41,297600.15
European Union - 27 countries (from 2020),2013,10055.25,310953.88,10055.25,310953.88
European Union - 27 countries (from 2020),2014,10499.81,322701.67,10499.81,322701.67
European Union - 27 countries (from 2020),2015,10902.71,329560.6,10902.71,329560.6
European Union - 27 countries (from 2020),2016,11006.89,341553.92,11006.89,341553.92
European Union - 27 countries (from 2020),2017,11161.66,349284.93,11161.66,349284.93
European Union - 27 countries (from 2020),2018,11218.5,355523.45,11218.5,355523.45
European Union - 27 countries (from 2020),2019,11489.88,362986.32,11489.88,362986.32
European Union - 27 countries (from 2020),2020,11538.05,334773.82,11538.05,334773.82
European Union - 27 countries (from 2020),2021,12233.57,353521.84,12233.57,353521.84
European Union - 27 countries (from 2020),2022,12681.5,340049.43,12681.5,340049.43
European Union - 27 countries (from 2020),2023,14431.02,348574.78,14431.02,348574.78
Finland,1995,25.0,2930.92,25.0,2930.92
Finland,1996,30.61,3153.35,30.61,3153.35
Finland,1997,44.49,3640.86,44.49,3640.86
Finland,1998,54.66,3863.1,54.66,3863.1
Finland,1999,59.0,4207.0,59.0,4207.0
Finland,2000,58.0,4163.0,58.0,4163.0
Finland,2001,58.0,4158.0,58.0,4158.0
Finland,2002,62.0,4411.0,62.0,4411.0
Finland,2003,73.0,4677.0,73.0,4677.0
Finland,2004,75.0,4953.0,75.0,4953.0
Finland,2005,105.0,4890.0,105.0,4890.0
Finland,2006,117.0,5027.0,117.0,5027.0
Finland,2007,126.0,4968.0,126.0,4968.0
Finland,2008,103.0,5028.0,103.0,5028.0
Finland,2009,92.0,4586.0,92.0,4586.0
Finland,2010,103.0,5015.0,103.0,5015.0
Finland,2011,131.0,5945.0,131.0,5945.0
Finland,2012,122.0,5949.0,122.0,5949.0
Finland,2013,125.0,5953.0,125.0,5953.0
Finland,2014,109.0,5957.0,109.0,5957.0
Finland,2015,97.0,6118.0,97.0,6118.0
Finland,2016,73.0,6709.0,73.0,6709.0
Finland,2017,62.0,6693.0,62.0,6693.0
Finland,2018,65.0,6848.0,65.0,6848.0
Finland,2019,55.0,6730.0,55.0,6730.0
Finland,2020,53.0,6487.0,53.0,6487.0
Finland,2021,48.0,6289.0,48.0,6289.0
Finland,2022,45.0,6529.0,45.0,6529.0
Finland,2023,44.0,6182.0,44.0,6182.0
France,1995,1764.28,30596.99,1764.28,30596.99
France,1996,1971.0,32258.39,1971.0,32258.39
France,1997,1572.29,31325.75,1572.29,31325.75
France,1998,1612.71,32738.17,1612.71,32738.17
France,1999,1733.0,33117.0,1733.0,33117.0
France,2000,2014.0,31919.0,2014.0,31919.0
France,2001,2156.0,30032.0,2156.0,30032.0
France,2002,2372.0,32496.0,2372.0,32496.0
France,2003,2193.0,32115.0,2193.0,32115.0
France,2004,2130.0,35229.0,2130.0,35229.0
France,2005,2123.0,35221.0,2123.0,35221.0
France,2006,2196.0,35950.0,2196.0,35950.0
France,2007,2412.0,36205.0,2412.0,36205.0
France,2008,2470.0,36455.0,2470.0,36455.0
France,2009,2304.0,35894.0,2304.0,35894.0
France,2010,2282.0,37279.0,2282.0,37279.0
