DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2005,5295,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2006,5321,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2007,5466,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2008,6653,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2009,6130,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2010,6178,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2011,6379,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2012,6644,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2013,6865,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2014,7188,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2015,7325,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2016,7683,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2017,8307,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2018,7455,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2019,7571,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2020,7493,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2021,8795,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2022,8235,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Austria,2023,8407,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2005,5413,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2006,5606,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2007,5799,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2008,6219,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2009,6070,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2010,6533,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2011,6959,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2012,7025,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2013,7411,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2014,7008,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2015,7165,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2016,7889,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2017,8187,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2018,7636,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2019,8534,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2020,8605,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2021,9061,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2022,8721,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Belgium,2023,8918,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2005,333,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2006,361,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2007,398,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2008,623,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2009,463,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2010,552,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2011,581,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2012,589,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2013,589,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2014,662,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2015,727,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2016,742,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2017,894,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2018,911,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2019,1031,,
