DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2012,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2013,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2014,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2015,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2016,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2017,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2018,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2019,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2020,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2021,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2022,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Albania,2023,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2012,65.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2013,66.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2014,66.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2015,67.1,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2016,66.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2017,65.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2018,65.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2019,65.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2020,63.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2021,65.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2022,66.2,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Austria,2023,64.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2012,80.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2013,78.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2014,81.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2015,81.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2016,81.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2017,83.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2018,85.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2019,83.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2020,79.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2021,80.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2022,80.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Belgium,2023,79.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2012,66.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2013,65.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2014,62,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2015,64.1,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2016,63.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2017,65.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2018,60.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2019,61.2,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2020,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2021,57.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2022,58.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Bulgaria,2023,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2012,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2013,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2014,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2015,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2016,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2017,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2018,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2019,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2020,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2021,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2022,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Switzerland,2023,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2012,55.3,e,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2013,56.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2014,58.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2015,59.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2016,64.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2017,66.2,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2018,70.2,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2019,66.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2020,59.9,e,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2021,58.7,be,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2022,69.5,be,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Cyprus,2023,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2012,69.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2013,69.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2014,73,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2015,74.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2016,75.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2017,72.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2018,69.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2019,71.2,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2020,67.9,bd,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2021,69.1,d,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2022,70.8,bd,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Czechia,2023,74.8,p,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2012,71.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2013,71.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2014,71.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2015,69.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2016,70.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2017,69.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2018,68.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2019,64,b,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2020,68.1,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2021,67.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2022,68.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Germany,2023,69.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2012,61.6,e,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2013,69.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2014,69.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2015,73.9,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2016,79,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2017,71.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2018,70.1,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2019,69.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2020,64,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2021,64.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2022,62.2,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Denmark,2023,62.7,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2012,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2013,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2014,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2015,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2016,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2017,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2018,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2019,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2020,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2021,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2022,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area - 19 countries  (2015-2022),2023,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2012,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2013,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2014,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2015,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2016,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2017,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2018,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2019,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2020,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2021,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2022,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Euro area – 20 countries (from 2023),2023,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2012,61.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2013,58.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2014,60.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2015,59,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2016,56,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2017,53.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2018,60.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2019,66.2,b,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2020,71.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2021,70.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2022,73,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Estonia,2023,68.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2012,58.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2013,52.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2014,53.8,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2015,60.3,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2016,66.1,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2017,68.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2018,63.6,e,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2019,60.1,e,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2020,,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2021,54.1,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2022,43.4,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Greece,2023,48,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Spain,2012,65.5,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Spain,2013,66.6,,
ESTAT:TEN00063(1.0),21/10/25 23:00:00,Annual,Packaging,Rate (2025 target and onwards),Spain,2014,68.7,,
